Year,Date,City,Nonfatal_Fatal,Age,Age_Category,Sex,Water_Body,County,Timecat,Time,Victim_Activity,Gator_Fed,Dog_Present,Body_Part_Bitten,Injury_Severity_LowMedHigh,GatorLength_MeasuredOrEst,Length_Feet,Length_Inches,Weight_Lbs,Gator_Sex,GatorObserved_PriorToBite,GatorObserved_DuringBite,VictimStateResidence,AlcoholOrDrugs
1948,30-Jul-48,Weekiwachee,N,,A,F,Weekiwachee Springs,Hernando,Aft,,Swimming,,N,Arm,M,M,9,2,,M,N,Y,Florida,
1950,,,N,15,T,F,,N/A,,,Swimming,,,Leg (Knee),M,,,,,,N,Y,,
1952,16-Sep-52,Coral Gables,N,9,C,F,Unnamed rock pit,Dade,,,Fishing,,N,Arm,H,E,6,2,,,N,Y,Florida,
1958,,,N,,A,M,,N/A,,,Snorkeling,,N,Head and unknown other parts,M,,,,,,N,Y,,
1971,11-Jun-71,Village of Palm Springs,N,15,T,M,Lake Sago,Palm Beach,Aft,1415,Swimming,Y,N,Head and face,M,E,10,,,,N,Y,Florida,
1971,20-Jun-71,Bradenton,N,,C,M,"Frog Creek,  Bradenton",Manatee,,,Swimming,,N,"Arm, wrist",M,E,7,,,,N,Y,Florida,
1971,21-Jun-71,Jacksonville,N,15,T,M,St. John's River - Jax,Duval,,,Wading,,,"Shoulder, left",H,,,,,,N,Y,Florida,
1972,16-Jul-72,Ft. Lauderdale,N,10,C,F,Unnamed canal,Broward,,,Wading,Y,N,Arm (Hand and arm),M,E,5,,,,Y,Y,Florida,
1972,20-Jul-72,Lake Worth,N,12,C,M,Unnamed barrow pit,Palm Beach,,,Swimming,,,Abdomen,H,E,8,,,,,Y,Florida,
1972,03-Aug-72,Jacksonville,N,6,C,M,Casa Linda Lake,Duval,Aft,1230,Wading,,N,Leg,M,E,8,,,,N,Y,Florida,
1973,05-Jul-73,Tarpon Springs,N,10,C,M,Lake Tarpon,Pinellas,Eve,2000,Wading,,Y,"Leg, left",M,E,8,5,,,N,Y,Florida,
1973,16-Aug-73,Sarasota,F,16,T,F,Oscar Scherer St. Pk. - swimming pond,Sarasota,Dusk,,Swimming,,N,"Torso, arm",H,M,11,3,,M,,,Florida,N
1973,16-Sep-73,Davie,N,13,T,M,South New River Canal,Broward,Mor,1000,Swimming,,N,Chest and back,M,E,9,,,,Y,Y,Florida,
1974,18-Jun-74,Coral Springs,N,10,C,F,Unnamed canal,Broward,Eve,1930,Fishing,,N,Leg (lower left),M,,,,,,N,Y,Florida,
1974,29-Jul-74,Lake Worth,N,14,T,M,Lake Osborne,Palm Beach,Day,,Swimming,Y,,"Arm and chest, right",M,,,,,,,,Florida,
1974,01-Aug-74,Kissimmee,N,10,C,M,YMCA Camp canal,Osceola,Day,,Swimming,,N,Leg and foot,M,M,9,,,,N,Y,,
1974,15-Aug-74,Ormond Beach,N,16,T,M,Tomoka River,Volusia,Eve,1930,Swimming,Y,N,Arm first and by other arm and head,M,M,11,4,,,N,Y,Florida,
1975,16-Jun-75,Lakeland,N,45,A,M,Saddle Creek Park,Polk,Aft,1630,Swimming,,N,Torso (chest and shoulder),H,M,11,9,,M,N,Y,Florida,
1975,30-Jun-75,Tarpon Springs,N,14,T,M,Lake Tarpon,Pinellas,Aft,1600,Swimming,,N,"Leg, thigh just above knees",M,E,8,,,,N,Y,Florida,
1975,05-Jul-75,Ft. Myers,N,10,C,F,Judd Park canal,Lee,Aft,1745,Wading,,N,"Leg, thigh",M,E,5,,,,N,Y,Florida,
1975,22-Oct-75,Eureka,N,34,A,M,Ocklawaha River,Marion,Aft,1300,Wading,,N,"Abdomen, chest and arm",M,,,,,,N,Y,Florida,
1976,01-Apr-76,St. Petersburg,N,14,T,M,Unnamed pond,Pinellas,Aft,1530,Wading,Y,N,Arm,M,E,6,6,,,N,Y,Florida,
