geoid,name,B19013001,"B19013001, Error"
01000US,United States,55322,120
04000US12,Florida,48900,200
05000US12095,"Orange County, FL",49391,721
14000US12095010200,"Census Tract 102, Orange, FL",67283,7134
14000US12095010300,"Census Tract 103, Orange, FL",41014,6502
14000US12095010400,"Census Tract 104, Orange, FL",12642,2188
14000US12095010500,"Census Tract 105, Orange, FL",22170,2564
14000US12095010802,"Census Tract 108.02, Orange, FL",51424,3505
14000US12095011000,"Census Tract 110, Orange, FL",45810,5358
14000US12095011100,"Census Tract 111, Orange, FL",55299,5289
14000US12095011200,"Census Tract 112, Orange, FL",63936,11825
14000US12095011300,"Census Tract 113, Orange, FL",53786,5883
14000US12095011600,"Census Tract 116, Orange, FL",22955,5239
14000US12095011701,"Census Tract 117.01, Orange, FL",28764,3751
14000US12095011702,"Census Tract 117.02, Orange, FL",27089,2783
14000US12095012000,"Census Tract 120, Orange, FL",28912,5607
14000US12095012100,"Census Tract 121, Orange, FL",31330,3203
14000US12095012201,"Census Tract 122.01, Orange, FL",32580,5575
14000US12095012202,"Census Tract 122.02, Orange, FL",32632,7850
14000US12095012303,"Census Tract 123.03, Orange, FL",55726,7009
14000US12095012304,"Census Tract 123.04, Orange, FL",39654,6652
14000US12095012305,"Census Tract 123.05, Orange, FL",34852,8750
14000US12095012306,"Census Tract 123.06, Orange, FL",42361,5311
14000US12095012307,"Census Tract 123.07, Orange, FL",35644,4700
14000US12095012401,"Census Tract 124.01, Orange, FL",35628,2257
14000US12095012402,"Census Tract 124.02, Orange, FL",31133,5069
14000US12095012403,"Census Tract 124.03, Orange, FL",32924,2684
14000US12095012500,"Census Tract 125, Orange, FL",61510,14917
14000US12095012600,"Census Tract 126, Orange, FL",78125,9111
14000US12095012701,"Census Tract 127.01, Orange, FL",68958,8713
14000US12095012800,"Census Tract 128, Orange, FL",94426,9891
14000US12095012900,"Census Tract 129, Orange, FL",61967,4401
14000US12095013201,"Census Tract 132.01, Orange, FL",32485,9680
